,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2023-09-17,10000.0,10000.0,10000.0,10000.0,417034010000,41703401,353,10000.0,10000.0
1,2023-09-18,10000.0,10000.0,10000.0,10000.0,256663430000,25666343,417,10000.0,10000.0
2,2023-09-19,10000.0,10000.0,10000.0,10000.0,22287600000,2228760,176,10000.0,10000.0
3,2023-09-20,10000.0,10000.0,10000.0,10000.0,284014960000,28401496,211,10000.0,10000.0
4,2023-10-16,10188.0,10188.0,10001.0,10064.0,7826169209,777669,42,10000.0,10096.0
5,2023-10-17,10114.0,10114.0,10100.0,10103.0,5299957283,524597,73,10064.0,10100.0
6,2023-10-18,10051.0,10090.0,10050.0,10052.0,539827581,53704,37,10103.0,10090.0
7,2023-10-21,10050.0,10090.0,10050.0,10051.0,352644600,35086,30,10052.0,10090.0
8,2023-10-22,10051.0,10095.0,10051.0,10052.0,317380853,31573,23,10051.0,10052.0
9,2023-10-23,10052.0,10053.0,10052.0,10052.0,472624985,47017,20,10052.0,10053.0
10,2023-10-24,10070.0,10070.0,10052.0,10053.0,105174748,10462,11,10052.0,10068.0
11,2023-10-25,10053.0,10070.0,10053.0,10054.0,652428768,64891,24,10053.0,10069.0
12,2023-10-28,10054.0,10054.0,10018.0,10032.0,3022932377,301342,25,10054.0,10018.0
13,2023-10-29,10011.0,10100.0,10010.0,10055.0,366625752,36461,26,10032.0,10040.0
14,2023-10-30,10110.0,10110.0,10056.0,10106.0,122528456,12124,6,10055.0,10057.0
15,2023-10-31,10106.0,10119.0,10070.0,10072.0,1097422315,108958,15,10106.0,10070.0
16,2023-11-01,10010.0,10099.0,10000.0,10035.0,143513884,14302,12,10072.0,10099.0
17,2023-11-04,10149.0,10229.0,10147.0,10174.0,170206152,16730,16,10035.0,10229.0
18,2023-11-05,10251.0,10251.0,10112.0,10120.0,50535013380,4993666,38,10174.0,10239.0
19,2023-11-06,10170.0,10271.0,10170.0,10264.0,86373012,8415,13,10120.0,10268.0
20,2023-11-07,10270.0,10430.0,10270.0,10343.0,21460910,2075,9,10264.0,10363.0
21,2023-11-08,10444.0,10553.0,10444.0,10508.0,55062530756,5239841,37,10343.0,10500.0
22,2023-11-11,10500.0,10605.0,10500.0,10603.0,32476258775,3062875,34,10508.0,10550.0
23,2023-11-12,10500.0,10550.0,10460.0,10478.0,974339870,92990,18,10603.0,10460.0
24,2023-11-13,10450.0,10590.0,10450.0,10544.0,30535220,2896,7,10478.0,10590.0
25,2023-11-14,10393.0,10500.0,10393.0,10500.0,15760393,1501,4,10544.0,10500.0
26,2023-11-15,10419.0,10419.0,10351.0,10396.0,1203719623,115787,26,10500.0,10410.0
27,2023-11-18,10310.0,10310.0,10300.0,10300.0,651814940,63280,16,10396.0,10300.0
28,2023-11-19,10400.0,10400.0,10330.0,10350.0,334128850,32284,7,10300.0,10330.0
29,2023-11-20,10250.0,10260.0,10250.0,10255.0,74573420,7272,13,10350.0,10250.0
30,2023-11-21,10250.0,10250.0,10250.0,10250.0,157440000,15360,11,10255.0,10250.0
31,2023-11-22,10301.0,10400.0,10301.0,10350.0,20766585000,2006450,6,10250.0,10400.0
32,2023-11-25,10300.0,10400.0,10250.0,10271.0,71178440,6930,18,10350.0,10250.0
33,2023-11-26,10250.0,10350.0,10250.0,10333.0,49381150,4779,11,10271.0,10250.0
34,2023-11-27,10300.0,10301.0,10250.0,10301.0,5291924900,513733,6,10333.0,10250.0
35,2023-11-28,10300.0,10359.0,10300.0,10355.0,4014880450,387734,19,10301.0,10300.0
36,2023-11-29,10355.0,10550.0,10355.0,10408.0,1982492300,190476,17,10355.0,10420.0
37,2023-12-02,10640.0,10750.0,10640.0,10648.0,496074210,46589,15,10408.0,10750.0
38,2023-12-03,10687.0,11000.0,10650.0,10698.0,3768790669,352295,10,10648.0,11000.0
39,2023-12-04,10950.0,11150.0,10950.0,11074.0,104194140,9409,14,10698.0,10990.0
40,2023-12-05,11040.0,11250.0,10850.0,11096.0,845586550,76203,8,11074.0,11250.0
41,2023-12-06,11002.0,11180.0,11002.0,11070.0,125095100,11300,6,11096.0,11180.0
42,2023-12-09,11100.0,11100.0,10950.0,11073.0,258873187,23378,14,11070.0,11097.0
43,2023-12-10,11000.0,11150.0,10850.0,11073.0,2282512300,206124,19,11073.0,10900.0
44,2023-12-11,10960.0,11090.0,10900.0,10950.0,566416840,51726,16,11073.0,11090.0
