,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2022-10-18,10000.0,10000.0,10000.0,10000.0,300000000000,30000000,2141,10000.0,10000.0
1,2022-11-12,10500.0,11550.0,10500.0,11218.0,77473889021,6905980,945,10000.0,11550.0
2,2022-11-13,12339.0,12339.0,12000.0,12339.0,242657263211,19666576,2140,11218.0,12339.0
3,2022-11-14,13572.0,13572.0,13572.0,13572.0,40068602028,2952299,79,12339.0,13572.0
4,2022-11-15,14929.0,14929.0,13888.0,14859.0,666026369677,44824376,69342,13572.0,14929.0
5,2022-11-16,15599.0,16344.0,14300.0,15759.0,678889003492,43078232,77750,14859.0,14981.0
6,2022-11-19,14500.0,14887.0,14184.0,14289.0,134629571896,9421740,17352,15759.0,14184.0
7,2022-11-20,12861.0,13900.0,12861.0,12996.0,284415005942,21884877,37088,14289.0,12861.0
8,2022-11-21,12880.0,13981.0,12113.0,13210.0,202749902525,15348641,27344,12996.0,13273.0
9,2022-11-22,13400.0,13748.0,13211.0,13510.0,98092544716,7260675,14090,13210.0,13424.0
10,2022-11-23,13449.0,13500.0,12880.0,13130.0,79369784528,6044956,11579,13510.0,13017.0
11,2022-11-26,13060.0,13060.0,12440.0,12591.0,72352913997,5746249,11155,13130.0,12446.0
12,2022-11-27,12466.0,12466.0,12161.0,12222.0,62837450929,5141247,9362,12591.0,12237.0
13,2022-11-28,12220.0,12585.0,12065.0,12277.0,65274442958,5316977,10129,12222.0,12112.0
14,2022-11-29,12160.0,12160.0,11871.0,11974.0,48762432298,4072486,7979,12277.0,12042.0
15,2022-11-30,12042.0,12370.0,11980.0,12165.0,55882155470,4593663,8866,11974.0,12288.0
16,2022-12-03,12310.0,12438.0,12100.0,12288.0,42537866852,3461687,6699,12165.0,12312.0
17,2022-12-04,12388.0,12388.0,12201.0,12302.0,33260431017,2703697,5349,12288.0,12301.0
18,2022-12-05,12270.0,12312.0,12100.0,12185.0,25388893897,2083637,4217,12302.0,12121.0
19,2022-12-06,12120.0,12120.0,11882.0,11932.0,26678864068,2236002,4623,12185.0,11917.0
20,2022-12-07,11872.0,12040.0,11715.0,11819.0,27506235967,2327386,4464,11932.0,11976.0
21,2022-12-10,11962.0,11962.0,11530.0,11700.0,21013558682,1795985,3500,11819.0,11598.0
22,2022-12-11,11573.0,11710.0,11425.0,11541.0,25294824289,2191699,4175,11700.0,11596.0
23,2022-12-12,11599.0,12100.0,11442.0,11836.0,44199838089,3734416,7021,11541.0,11799.0
24,2022-12-13,11932.0,12029.0,11800.0,11923.0,41453427479,3476817,6787,11836.0,11885.0
25,2022-12-14,11910.0,11910.0,11672.0,11754.0,28758489718,2446693,4877,11923.0,11681.0
26,2022-12-17,11653.0,11671.0,11493.0,11541.0,34676952859,3004582,5696,11754.0,11505.0
27,2022-12-18,11540.0,11710.0,11450.0,11519.0,45078202379,3913366,7743,11541.0,11470.0
28,2022-12-19,11433.0,11480.0,11144.0,11300.0,42428841203,3754620,7272,11519.0,11271.0
29,2022-12-20,11147.0,11349.0,11147.0,11288.0,18972308425,1680760,3340,11300.0,11336.0
30,2022-12-21,11370.0,11372.0,11240.0,11291.0,16378007116,1450593,2865,11288.0,11274.0
31,2022-12-24,11280.0,11556.0,11241.0,11349.0,53790003627,4739493,9133,11291.0,11525.0
32,2022-12-25,11595.0,11690.0,11407.0,11563.0,39550015577,3420439,6406,11349.0,11600.0
33,2022-12-26,11600.0,11600.0,11451.0,11529.0,25031266182,2171181,4187,11563.0,11525.0
34,2022-12-28,11536.0,11677.0,11499.0,11568.0,96309756000,8325667,15685,11529.0,11515.0
35,2022-12-31,11500.0,11500.0,11192.0,11262.0,38849418887,3449677,6472,11568.0,11250.0
36,2023-01-01,11204.0,11248.0,10993.0,11068.0,30906200946,2792393,5497,11262.0,11020.0
37,2023-01-02,11000.0,11167.0,11000.0,11057.0,31063938167,2809544,5209,11068.0,11035.0
38,2023-01-03,11061.0,11061.0,10900.0,10970.0,31721078933,2891555,5488,11057.0,10973.0
39,2023-01-04,10961.0,11048.0,10940.0,10981.0,17619193096,1604495,3058,10970.0,10960.0
40,2023-01-07,11000.0,11000.0,10930.0,10953.0,20348930480,1857888,3523,10981.0,10939.0
41,2023-01-08,10954.0,10978.0,10901.0,10934.0,34273698610,3134577,5760,10953.0,10951.0
42,2023-01-09,10924.0,11950.0,10902.0,11483.0,76764470491,6685284,11979,10934.0,11586.0
43,2023-01-10,11630.0,11850.0,11290.0,11484.0,36783842493,3203104,5882,11483.0,11301.0
44,2023-01-11,11395.0,11395.0,11156.0,11261.0,32562364396,2891681,5542,11484.0,11220.0
45,2023-01-14,11210.0,11549.0,11100.0,11414.0,33482648234,2933365,5313,11261.0,11520.0
46,2023-01-16,11507.0,11780.0,11507.0,11712.0,40743633894,3478761,6597,11414.0,11749.0
47,2023-01-17,11790.0,11870.0,11502.0,11611.0,23796068913,2049410,4356,11712.0,11576.0
48,2023-01-18,11570.0,11598.0,11370.0,11478.0,21221529230,1848859,3830,11611.0,11440.0
49,2023-01-21,11430.0,11645.0,11300.0,11445.0,38399717248,3355108,6082,11478.0,11580.0
50,2023-01-22,11530.0,11646.0,11425.0,11514.0,25026936162,2173586,4035,11445.0,11538.0
51,2023-01-23,11500.0,11568.0,11391.0,11484.0,16788696651,1461933,2826,11514.0,11477.0
52,2023-01-24,11484.0,11538.0,11365.0,11450.0,20283472546,1771546,3271,11484.0,11434.0
53,2023-01-25,11490.0,11490.0,11200.0,11329.0,17386175757,1534632,2974,11450.0,11325.0
54,2023-01-28,11350.0,11405.0,11000.0,11128.0,25657390784,2305571,4491,11329.0,11060.0
55,2023-01-29,11030.0,11050.0,10690.0,10837.0,26352435203,2431681,4704,11128.0,10799.0
56,2023-01-30,10768.0,10890.0,10621.0,10727.0,20210386756,1884056,3574,10837.0,10794.0
57,2023-01-31,10809.0,11174.0,10780.0,10957.0,23752772618,2167754,3782,10727.0,11044.0
58,2023-02-01,11130.0,11564.0,11020.0,11296.0,34154993400,3023628,5578,10957.0,11336.0
59,2023-02-05,11311.0,11389.0,10811.0,11123.0,20948997919,1883374,3233,11296.0,11199.0
60,2023-02-06,11040.0,11148.0,11040.0,11118.0,12069529011,1085559,2110,11123.0,11100.0
61,2023-02-07,11190.0,11298.0,11110.0,11160.0,14395725496,1289928,2464,11118.0,11143.0
62,2023-02-08,11119.0,11211.0,11083.0,11162.0,17716185501,1587128,2986,11160.0,11144.0
63,2023-02-12,11144.0,11300.0,11107.0,11213.0,15487469132,1381252,2597,11162.0,11230.0
64,2023-02-13,11293.0,11293.0,11192.0,11261.0,9481662681,841994,1595,11213.0,11202.0
65,2023-02-14,11228.0,11228.0,11160.0,11190.0,7884319796,704570,1363,11261.0,11173.0
66,2023-02-15,11140.0,11146.0,11060.0,11089.0,14919715822,1345407,2407,11190.0,11100.0
67,2023-02-19,11150.0,11160.0,11051.0,11113.0,12316962846,1108338,2252,11089.0,11108.0
68,2023-02-20,11105.0,11750.0,11105.0,11394.0,46784768304,4106086,7501,11113.0,11308.0
69,2023-02-21,11341.0,11508.0,11281.0,11384.0,34527943061,3032944,5597,11394.0,11382.0
70,2023-02-22,11330.0,11400.0,11280.0,11321.0,20577267454,1817656,3260,11384.0,11397.0
71,2023-02-25,11450.0,12453.0,11450.0,12260.0,97709892310,7969990,15002,11321.0,12453.0
72,2023-02-26,12850.0,13370.0,12300.0,12729.0,76093743451,5978031,10746,12260.0,12430.0
73,2023-02-27,12420.0,12466.0,11905.0,12202.0,33717821667,2763204,5005,12729.0,12140.0
74,2023-02-28,12110.0,12640.0,11950.0,12296.0,26962712010,2192768,3762,12202.0,12450.0
75,2023-03-01,12450.0,13077.0,12270.0,12683.0,33003437174,2602090,4428,12296.0,12718.0
76,2023-03-04,12839.0,12839.0,12290.0,12450.0,15285290340,1227776,2256,12683.0,12408.0
77,2023-03-05,12310.0,12539.0,12230.0,12364.0,9301296004,752297,1379,12450.0,12323.0
78,2023-03-06,12250.0,12255.0,12100.0,12184.0,10367924050,850922,1662,12364.0,12176.0
79,2023-03-07,12154.0,12230.0,12005.0,12094.0,14581903747,1205694,2368,12184.0,12150.0
80,2023-03-11,12120.0,12196.0,11540.0,11740.0,29490069880,2511972,4608,12094.0,11581.0
81,2023-03-12,11600.0,11610.0,11181.0,11254.0,25005220295,2221854,4157,11740.0,11370.0
82,2023-03-13,11250.0,11445.0,11220.0,11279.0,9830445009,871594,1693,11254.0,11270.0
83,2023-03-14,11264.0,11440.0,11213.0,11282.0,15769489742,1397777,2804,11279.0,11400.0
84,2023-03-15,11439.0,11509.0,11350.0,11460.0,18365290020,1602566,3097,11282.0,11492.0
85,2023-03-18,11231.0,11840.0,11231.0,11695.0,41096421927,3513904,6520,11460.0,11667.0
86,2023-03-19,11701.0,11790.0,11301.0,11539.0,25729795030,2229876,4049,11695.0,11500.0
87,2023-03-25,11600.0,11600.0,11469.0,11532.0,16432783527,1424941,2663,11539.0,11549.0
88,2023-03-26,11550.0,11550.0,11550.0,11550.0,8085000,700,1,11532.0,11550.0
89,2023-03-27,11540.0,12030.0,11480.0,11806.0,33794855263,2862455,5047,11550.0,11921.0
90,2023-03-28,11823.0,12269.0,11823.0,12056.0,24761602951,2053821,3886,11806.0,12114.0
91,2023-03-29,12150.0,12330.0,12006.0,12164.0,25622498697,2106423,4081,12056.0,12247.0
92,2023-04-03,12280.0,13380.0,12106.0,12864.0,72596698890,5643580,10633,12164.0,13380.0
