,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2023-09-30,10000.0,10000.0,10000.0,10000.0,3858668710000,385866871,730,10000.0,10000.0
1,2023-10-01,10000.0,10000.0,10000.0,10000.0,1310492720000,131049272,662,10000.0,10000.0
2,2023-10-02,10000.0,10000.0,10000.0,10000.0,4730838570000,473083857,1122,10000.0,10000.0
3,2023-11-01,10100.0,10100.0,10014.0,10099.0,13754038616,1361859,36,10000.0,10088.0
4,2023-11-04,10020.0,10198.0,10020.0,10100.0,36422430470,3606053,126,10099.0,10099.0
5,2023-11-05,10100.0,10110.0,10060.0,10077.0,71506778544,7095730,91,10100.0,10089.0
6,2023-11-06,10090.0,10090.0,10070.0,10079.0,41061615134,4073954,64,10077.0,10077.0
7,2023-11-07,10084.0,10090.0,10076.0,10083.0,18788903349,1863471,53,10079.0,10085.0
8,2023-11-08,10094.0,10231.0,10093.0,10105.0,802386663,79407,32,10083.0,10132.0
9,2023-11-11,10198.0,10199.0,10197.0,10197.0,336729123,33021,22,10105.0,10199.0
10,2023-11-12,10207.0,10207.0,10197.0,10202.0,9361018537,917543,34,10197.0,10207.0
11,2023-11-13,10212.0,10252.0,10198.0,10204.0,441783034043,43296568,125,10202.0,10202.0
12,2023-11-14,10224.0,10224.0,10203.0,10208.0,29989296693,2937715,35,10204.0,10204.0
13,2023-11-15,10214.0,10245.0,10214.0,10237.0,253567646,24770,28,10208.0,10235.0
14,2023-11-18,10235.0,10235.0,10170.0,10183.0,279724844,27471,18,10237.0,10170.0
15,2023-11-19,10152.0,10174.0,10152.0,10167.0,888580483,87400,31,10183.0,10152.0
16,2023-11-20,10160.0,10160.0,10140.0,10153.0,386732090,38089,20,10167.0,10150.0
17,2023-11-21,10130.0,10130.0,10105.0,10116.0,12230522260,1209040,39,10153.0,10105.0
18,2023-11-22,10130.0,10150.0,10100.0,10107.0,52401029530,5184726,36,10116.0,10150.0
19,2023-11-25,10150.0,10170.0,10150.0,10150.0,42956780,4232,6,10107.0,10150.0
20,2023-11-26,10180.0,10200.0,10179.0,10186.0,10564365815,1037169,21,10150.0,10181.0
21,2023-11-27,10190.0,10200.0,10190.0,10194.0,1390674060,136417,28,10186.0,10200.0
22,2023-11-28,10190.0,10210.0,10190.0,10205.0,186163740,18242,12,10194.0,10210.0
23,2023-11-29,10240.0,10320.0,10230.0,10262.0,12341781870,1202723,32,10205.0,10251.0
24,2023-12-02,10310.0,10400.0,10310.0,10339.0,10928175890,1056949,34,10262.0,10387.0
25,2023-12-03,10380.0,11100.0,10320.0,10624.0,36482769577,3433870,63,10339.0,11050.0
26,2023-12-04,10756.0,11099.0,10660.0,10729.0,21606944384,2013938,61,10624.0,10711.0
27,2023-12-05,10711.0,10799.0,10700.0,10735.0,5539268877,516020,22,10729.0,10701.0
28,2023-12-06,10710.0,10710.0,10690.0,10708.0,12820344056,1197276,24,10735.0,10708.0
29,2023-12-09,10695.0,10695.0,10600.0,10631.0,144986183606,13638004,53,10708.0,10600.0
30,2023-12-10,10630.0,10650.0,10620.0,10630.0,572119943100,53821341,123,10631.0,10620.0
