,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2024-01-13,10000.0,10000.0,10000.0,10000.0,601644190000,60164419,15360,10000.0,10000.0
1,2024-01-14,10000.0,10000.0,10000.0,10000.0,73994480000,7399448,658,10000.0,10000.0
2,2024-01-15,10000.0,10000.0,10000.0,10000.0,609093440000,60909344,472,10000.0,10000.0
3,2024-02-24,9990.0,10000.0,9990.0,9990.0,352189600,35253,61,10000.0,9990.0
4,2024-02-26,9880.0,10000.0,9880.0,9880.0,2503065510,253308,227,9990.0,9880.0
5,2024-02-27,10110.0,10140.0,10010.0,10110.0,12183903480,1205160,159,9880.0,10120.0
6,2024-02-28,10100.0,10290.0,10100.0,10120.0,900284600,88956,168,10110.0,10110.0
7,2024-03-02,9940.0,10180.0,9940.0,10120.0,1456497790,143863,92,10120.0,10140.0
8,2024-03-03,10150.0,10320.0,10150.0,10190.0,604739900,59334,92,10120.0,10260.0
9,2024-03-04,10270.0,10270.0,10000.0,10110.0,7648789670,756602,64,10190.0,10080.0
10,2024-03-05,10160.0,10200.0,10160.0,10190.0,739979360,72639,69,10110.0,10160.0
11,2024-03-06,10200.0,10280.0,10200.0,10200.0,1103371080,108155,42,10190.0,10280.0
12,2024-03-09,10000.0,10210.0,10000.0,10200.0,307389400,30136,23,10200.0,10210.0
13,2024-03-10,10200.0,10220.0,10200.0,10210.0,360674200,35341,30,10200.0,10200.0
14,2024-03-11,10200.0,10380.0,10200.0,10200.0,758842930,74382,57,10210.0,10200.0
15,2024-03-12,10200.0,10210.0,10200.0,10210.0,28443464560,2785876,46,10200.0,10210.0
16,2024-03-13,10200.0,10300.0,10200.0,10200.0,1782749810,174705,40,10210.0,10200.0
17,2024-03-16,10200.0,10330.0,10200.0,10330.0,120503205680,11665856,49,10200.0,10210.0
18,2024-03-17,10200.0,10220.0,10200.0,10220.0,181893700,17806,24,10330.0,10210.0
19,2024-03-18,10300.0,10390.0,10100.0,10200.0,10614576590,1040418,35,10220.0,10250.0
20,2024-03-24,10300.0,10470.0,10300.0,10310.0,239917270,23263,36,10200.0,10470.0
21,2024-03-25,10410.0,10480.0,10400.0,10410.0,127550060,12250,33,10310.0,10450.0
22,2024-03-26,10450.0,10550.0,10400.0,10450.0,26167990,2505,15,10410.0,10420.0
23,2024-03-27,10450.0,10530.0,10450.0,10480.0,45160110,4309,26,10450.0,10450.0
24,2024-03-30,10460.0,10460.0,10400.0,10430.0,204137560,19564,15,10480.0,10440.0
25,2024-04-02,10490.0,10580.0,10490.0,10490.0,339500640,32354,45,10430.0,10510.0
26,2024-04-03,10450.0,10520.0,10450.0,10470.0,250223830,23899,28,10490.0,10510.0
27,2024-04-06,10450.0,10470.0,10450.0,10450.0,355837210,34043,31,10470.0,10470.0
28,2024-04-07,10300.0,10350.0,10300.0,10310.0,265494490,25761,34,10450.0,10350.0
29,2024-04-08,10500.0,10570.0,10500.0,10510.0,147183660,14005,24,10310.0,10540.0
30,2024-04-09,10520.0,10590.0,10430.0,10590.0,30727967700,2901610,26,10510.0,10500.0
31,2024-04-13,10510.0,10510.0,10270.0,10370.0,399324300,38505,21,10590.0,10460.0
32,2024-04-14,10230.0,10230.0,10230.0,10230.0,306900,30,3,10370.0,10230.0
33,2024-04-15,10260.0,10420.0,10260.0,10400.0,1691749760,162651,27,10230.0,10420.0
34,2024-04-16,10230.0,10400.0,10230.0,10350.0,7822322920,755799,20,10400.0,10300.0
35,2024-04-17,10200.0,10400.0,10200.0,10230.0,14677800,1435,7,10350.0,10200.0
36,2024-04-20,10500.0,10700.0,10490.0,10520.0,435466570,41402,15,10230.0,10700.0
37,2024-04-21,10670.0,10870.0,10670.0,10700.0,371172940,34674,19,10520.0,10740.0
38,2024-04-22,10680.0,10760.0,10680.0,10740.0,110788860,10316,15,10700.0,10720.0
39,2024-04-23,10720.0,10720.0,10580.0,10700.0,5373575120,502000,27,10740.0,10690.0
40,2024-04-24,10560.0,10750.0,10560.0,10710.0,146780720,13704,18,10700.0,10730.0
41,2024-04-27,10800.0,11000.0,10750.0,10800.0,16743500,1550,19,10710.0,10750.0
42,2024-04-28,10780.0,10780.0,10670.0,10780.0,2726350080,252929,22,10800.0,10670.0
43,2024-04-29,10660.0,10790.0,10660.0,10700.0,3336198580,311679,18,10780.0,10720.0
44,2024-04-30,10650.0,10680.0,10550.0,10650.0,2682790070,251905,10,10700.0,10680.0
45,2024-05-01,10680.0,10680.0,10580.0,10640.0,2701146400,253915,11,10650.0,10640.0
46,2024-05-05,10620.0,10690.0,10620.0,10620.0,2682418820,252578,8,10640.0,10620.0
47,2024-05-06,10570.0,10570.0,10470.0,10570.0,2645560800,250290,12,10620.0,10570.0
48,2024-05-07,10490.0,10520.0,10490.0,10520.0,35030970,3330,12,10570.0,10520.0
49,2024-05-08,10520.0,10520.0,10480.0,10520.0,55501920,5276,8,10520.0,10480.0
50,2024-05-11,10430.0,10430.0,10330.0,10430.0,2641206790,253263,16,10520.0,10330.0
51,2024-05-12,10370.0,10450.0,10300.0,10370.0,22432360,2164,20,10430.0,10450.0
52,2024-05-13,10450.0,10450.0,10080.0,10270.0,2589062950,252113,29,10370.0,10180.0
53,2024-05-14,10250.0,10250.0,10210.0,10210.0,52298420,5122,13,10270.0,10210.0
54,2024-05-15,10170.0,10240.0,10150.0,10240.0,1109398790,108374,23,10210.0,10160.0
55,2024-05-18,10240.0,10250.0,10140.0,10150.0,1269812850,125124,23,10240.0,10140.0
56,2024-05-19,10040.0,10040.0,9890.0,9910.0,36687700,3702,13,10150.0,9910.0
57,2024-05-21,9950.0,10190.0,9920.0,10010.0,27531640910,2751463,24,9910.0,10190.0
58,2024-05-25,10010.0,10120.0,9930.0,10110.0,3921660,388,8,10010.0,10120.0
59,2024-05-26,9850.0,10030.0,9840.0,10010.0,111743500,11160,8,10110.0,10030.0
60,2024-05-27,9780.0,9960.0,9780.0,9950.0,33047300,3320,5,10010.0,9960.0
61,2024-05-28,10000.0,10040.0,9840.0,9940.0,114771980,11548,19,9950.0,9880.0
62,2024-05-29,9960.0,10160.0,9960.0,10000.0,650026000,65011,15,9940.0,10160.0
63,2024-06-01,9990.0,9990.0,9980.0,9990.0,2027770,203,3,10000.0,9980.0
64,2024-06-02,9980.0,9980.0,9960.0,9980.0,160006180,16025,9,9990.0,10000.0
65,2024-06-05,9990.0,9990.0,9990.0,9990.0,199800,20,2,9980.0,9990.0
66,2024-06-08,9920.0,10000.0,9880.0,9920.0,2510160,253,8,9990.0,9880.0
67,2024-06-09,9890.0,10000.0,9890.0,9890.0,65759710,6649,10,9920.0,9890.0
68,2024-06-10,10160.0,10160.0,9970.0,9980.0,2494400,250,6,9890.0,9970.0
69,2024-06-11,10030.0,10030.0,10030.0,10030.0,2007624860,200162,11,9980.0,10030.0
70,2024-06-12,10030.0,10030.0,9990.0,10030.0,2063764310,205781,11,10030.0,9990.0
71,2024-06-15,10030.0,10030.0,10030.0,10030.0,2006000000,200000,1,10030.0,10030.0
72,2024-06-16,9920.0,9920.0,9850.0,9850.0,3034800,308,5,10030.0,9850.0
73,2024-06-18,9870.0,9870.0,9870.0,9870.0,8093400,820,5,9850.0,9870.0
74,2024-06-19,9910.0,9910.0,9910.0,9910.0,10405500,1050,6,9870.0,9910.0
75,2024-06-22,9900.0,10030.0,9900.0,9900.0,5150300,520,3,9910.0,10000.0
76,2024-06-23,9900.0,9900.0,9900.0,9900.0,10385100,1049,1,9900.0,9900.0
77,2024-06-24,10120.0,10120.0,9920.0,10120.0,57204460,5653,6,9900.0,9930.0
78,2024-06-26,10010.0,10200.0,10010.0,10190.0,11893530,1167,7,10120.0,10200.0
79,2024-06-29,10090.0,10120.0,10090.0,10100.0,2515495300,249160,10,10190.0,10120.0
80,2024-06-30,10040.0,10040.0,9890.0,10040.0,2023597180,201558,8,10100.0,10000.0
81,2024-07-01,10040.0,10040.0,10000.0,10010.0,300400,30,3,10040.0,10000.0
82,2024-07-02,10040.0,10040.0,10040.0,10040.0,15361200,1530,4,10010.0,10040.0
83,2024-07-03,10060.0,10060.0,10050.0,10050.0,2513498940,250099,4,10040.0,10060.0
84,2024-07-06,10100.0,10580.0,10100.0,10280.0,6733016150,655081,23,10050.0,10570.0
85,2024-07-07,10420.0,10550.0,10400.0,10450.0,7067941770,676132,23,10280.0,10540.0
86,2024-07-08,10470.0,10630.0,10430.0,10470.0,2184013140,208618,23,10450.0,10430.0
